R1i,R2i,R6i,R7i,R8i,R10i,R11i,R13i,R28i,R31i,T6i,T20i,R3r,R4,R5,R9,R12,R14,R15,R16,R17,R24,R27,R30,R32,T1r,T2r,T3,T4,T5,T7,T9,T10,T11,T12,T13,T19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,-1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,1,-1,-1,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-4,0,-4,0,-4,0,0,0,0,0,1,1,-4,0,-4,-4,-4,0,-4
0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,4,0,4,0,4,0,0,0,4,0,-1,-1,0,0,4,4,4,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-1,-1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,-1,-1,2,0,0,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,1,-1,0,0,0,0,0,-1,0,0,-1,0,2,0,0,-1,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,-1,1,0,2,2,1,0,2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,0,0,1,0,0,-1,0,0,2,2,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,0,0,2,0,0,-1,-1,0,2,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,-3,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,1,-3,0,0,4,4,0,0,4
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,-1,-3,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,0,4,0,0,4,0,0,0,4,0,1,-3,-4,0,4,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-1,1,-1,0,0,0,0,0,0,0,1,0,-1,-2,0,0,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,-2,2,-2,0,0,0,0,0,0,0,1,-1,-2,0,0,0,-2,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-1,1,-1,0,0,0,0,0,-1,0,1,0,0,-2,0,0,-1,0,1
0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,-2,2,-2,0,0,0,0,0,-2,0,1,-1,0,0,0,0,-2,0,2
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-3,1,-3,0,-2,0,0,0,0,0,1,0,-3,0,-2,-2,-3,0,-2
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-3,1,-3,0,-2,0,0,0,-3,0,1,0,0,0,-2,-2,-3,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-3,1,-3,0,-2,0,0,0,-2,0,1,0,-1,0,-2,-2,-3,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,0,0,1,1,-1,-1,1,1,0,-1,-1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,0,-1,0,1,1,0,-1,1,1,0,-1,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,-1,0,0,0,1,1,-2,0,0,0,-1,-1,-2
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,0,0,-1,0,-2,0,1,1,0,0,0,0,-1,-1,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,-1,0,0,0,1,1,0,-2,2,2,1,-1,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-1,0,0,0,1,1,-1,-1,1,1,0,0,-1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-1,0,-1,0,1,1,0,-1,1,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,-1,0,-1,0,0,0,-1,0,0,0,1,1,-2,0,0,0,-1,0,-2
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,-1,0,-1,0,0,0,-1,0,-2,0,1,1,0,0,0,0,-1,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,0,-1,0,0,0,1,1,0,-2,2,2,1,0,0
